,id,entity_id,timestamp,provider,code,name,level,open,close,high,low,volume,turnover,change_pct,turnover_rate
0,stock_sz_000723_2005-01-04,stock_sz_000723,2005-01-04,joinquant,000723,美锦能源,1d,13.69,13.28,13.72,13.25,47160.0,629031.0,,
1,stock_sz_000983_2005-01-04,stock_sz_000983,2005-01-04,joinquant,000983,山西焦煤,1d,15.61,15.19,15.61,15.14,1069190.0,16304143.0,,
2,stock_sh_600157_2005-01-04,stock_sh_600157,2005-01-04,joinquant,600157,永泰能源,1d,17.2,16.82,17.43,16.82,53796.0,916412.0,,
3,stock_sh_600188_2005-01-04,stock_sh_600188,2005-01-04,joinquant,600188,兖矿能源,1d,13.2,12.92,13.2,12.73,2692892.0,34732570.0,,
4,stock_sz_000723_2005-01-05,stock_sz_000723,2005-01-05,joinquant,000723,美锦能源,1d,13.12,13.33,13.51,13.12,30246.0,401927.0,,
5,stock_sz_000983_2005-01-05,stock_sz_000983,2005-01-05,joinquant,000983,山西焦煤,1d,15.19,15.38,15.38,15.09,1345112.0,20524755.0,,
6,stock_sh_600157_2005-01-05,stock_sh_600157,2005-01-05,joinquant,600157,永泰能源,1d,16.56,17.01,17.11,16.56,91414.0,1549796.0,,
7,stock_sh_600188_2005-01-05,stock_sh_600188,2005-01-05,joinquant,600188,兖矿能源,1d,12.86,12.82,12.86,12.55,890771.0,11302581.0,,
8,stock_sz_000723_2005-01-06,stock_sz_000723,2005-01-06,joinquant,000723,美锦能源,1d,13.33,13.3,13.45,13.22,33704.0,448253.0,,
9,stock_sz_000983_2005-01-06,stock_sz_000983,2005-01-06,joinquant,000983,山西焦煤,1d,15.38,14.84,15.38,14.77,1960319.0,29511055.0,,
10,stock_sh_600157_2005-01-06,stock_sh_600157,2005-01-06,joinquant,600157,永泰能源,1d,17.11,16.56,17.11,16.36,87420.0,1445347.0,,
11,stock_sh_600188_2005-01-06,stock_sh_600188,2005-01-06,joinquant,600188,兖矿能源,1d,12.73,12.6,12.73,12.57,733739.0,9275183.0,,
12,stock_sz_000723_2005-01-07,stock_sz_000723,2005-01-07,joinquant,000723,美锦能源,1d,13.61,12.8,13.61,12.7,81481.0,1067167.0,,
13,stock_sz_000983_2005-01-07,stock_sz_000983,2005-01-07,joinquant,000983,山西焦煤,1d,14.77,13.58,14.98,13.54,4951881.0,69806367.0,,
14,stock_sh_600157_2005-01-07,stock_sh_600157,2005-01-07,joinquant,600157,永泰能源,1d,16.39,16.52,16.72,16.36,44047.0,727543.0,,
15,stock_sh_600188_2005-01-07,stock_sh_600188,2005-01-07,joinquant,600188,兖矿能源,1d,12.65,12.5,12.79,12.25,5256055.0,65617855.0,,
16,stock_sz_000723_2005-01-10,stock_sz_000723,2005-01-10,joinquant,000723,美锦能源,1d,12.47,12.81,12.85,12.15,95741.0,1199109.0,,
17,stock_sz_000983_2005-01-10,stock_sz_000983,2005-01-10,joinquant,000983,山西焦煤,1d,13.58,13.84,13.93,13.26,3470526.0,47606434.0,,
18,stock_sh_600157_2005-01-10,stock_sh_600157,2005-01-10,joinquant,600157,永泰能源,1d,17.17,16.78,17.17,16.49,33938.0,566470.0,,
19,stock_sh_600188_2005-01-10,stock_sh_600188,2005-01-10,joinquant,600188,兖矿能源,1d,12.31,12.46,12.47,12.1,1411135.0,17425423.0,,
